EBELN,EBELP,MATNR,TXZ01,WERKS,LGORT,MENGE,MEINS,NETPR,PEINH,NETWR,BPRME,BPUMZ,BPUMN,INFNR,MWSKZ,WEPOS,REPOS,LOEKZ,ELIKZ,EKKO_BUKRS,EKKO_BSTYP,EKKO_BSART,EKKO_LIFNR,EKKO_EKORG,EKKO_EKGRP,EKKO_BEDAT,EKKO_AEDAT,EKKO_KDATB,EKKO_KDATE,EKKO_WAERS,EKKO_ZTERM,EKKO_INCO1,EKKO_INCO2,EKKO_WKURS,EKKO_KUNNR,EKKO_LLIEF,EKKO_VERKF,EKKO_LOEKZ,BANFN,BNFPO,EBAN_BSART,EBAN_TXZ01,EBAN_LGORT,EBAN_MENGE,EBAN_MEINS,EBAN_BADAT,EBAN_AFNAM,EBAN_EKGRP,EBAN_FRGRL,EBAN_FRGST,EBAN_KNTTP,EBAN_PREIS,EBAN_PEINH,EBAN_WAERS,EBAN_BEDNR,EBAN_LOEKZ,EBKN_ZEKKN,EBKN_KOSTL,EBKN_PS_PSP_PNR,EBKN_SAKTO,EBKN_KOKRS,EBKN_GSBER,EBKN_VBELN,EBKN_VBELP,EBKN_AUFNR,EBKN_ANLN1,EBKN_VKONT,EBKN_PRCTR,EBKN_FKBER,EBKN_BUKRS,EKKN_ZEKKN,EKKN_KOSTL,EKKN_PS_PSP_PNR,EKKN_SAKTO,EKKN_KOKRS,EKKN_GSBER,EKKN_VBELN,EKKN_VBELP,EKKN_AUFNR,EKKN_ANLN1,EKKN_PRCTR,EKKN_FKBER,EKKN_BUKRS,EKKN_VKONT,EKBE_ZEKKN,EKBE_VGABE,EKBE_GJAHR,EKBE_BELNR,EKBE_BUZEI,EKBE_BEWTP,EKBE_MENGE,EKBE_MEINS,EKBE_DMBTR,EKBE_WAERS,EKBE_BUDAT,EKBE_BLDAT,EKBE_SHKZG,EKBE_BWART,EKBE_MATNR,EKBE_WERKS,EKBE_LGORT,EKBE_LIFNR,MSEG_MBLNR,MSEG_MJAHR,MSEG_ZEILE,MSEG_BWART,MSEG_MATNR,MSEG_WERKS,MSEG_LGORT,MSEG_CHARG,MSEG_LIFNR,MSEG_MENGE,MSEG_MEINS,MSEG_DMBTR,MSEG_WAERS,MSEG_BUKRS,MSEG_KOSTL,MSEG_SAKTO,MSEG_SGTXT,MSEG_XAUTO,MBLNR,MJAHR,MKPF_BLDAT,MKPF_BUDAT,MKPF_CPUDT,MKPF_USNAM,MKPF_TCODE,MKPF_BKTXT,MKPF_FRBNR,MKPF_XABLN,MKPF_VBELN,MKPF_KZDIS,MKPF_BWART,MARD_LABST,MARD_UMLME,MARD_EINME,MARD_AUSME,MARD_SPEME,MARD_INSME,MARD_LFGJA,MARD_LFMON,MARD_LFGBE,MARD_LBKUM,MARD_SALK3,MARD_MAABC,MARD_MTVFP,MARD_PERKZ,MARD_BKLAS,kpi_three_way_match,kpi_po_cycle_time_days,kpi_on_time_delivery
4500000011,10,MAT00000028,PO Item 11,2000,WH01,304.589,M,5465.81,1,1664825.6,PC,1,1,INFO000009,V0,X,X,,X,2000,F,ZUB,V000038,1000,20,20231007,20231007,20231007,20240105,USD,2/10NET30,DAP,DESTINATION PORT,77.5444,,1100.0,SALES07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000008,WBS-0026,6000000026,1000,BU05,,,,,PC0010,,3000,CA635167,1,1,2023,5000000011,1,R,177.71,M,58337.25,EUR,20230504,20230504,H,121,MAT00000049,2100,0010,V000012,5000000011,2023,1,501,MAT00000016,3000,0001,BATCH24201,V000038,34.396,PC,143544.61,INR,2000,CC000019,6000000011,GR Material 11,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000012,10,MAT00000029,PO Item 12,3000,0001,343.422,KG,25532.0,1,8768250.5,KG,1,1,INFO000031,V2,X,X,,X,2000,F,ZUB,V000036,2000,20,20231219,20231219,20231219,20240318,INR,NET60,CIF,DESTINATION PORT,81.9848,,,SALES08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000015,WBS-0001,6000000007,1000,BU01,,,,,PC0010,FIN,3000,,1,5,2024,5000000012,1,E,171.096,EA,827628.59,EUR,20240610,20240610,S,121,MAT00000058,3000,0010,V000035,5000000012,2024,1,502,MAT00000026,3000,0001,,V000012,2.259,EA,9262.17,EUR,3000,CC000018,6000000020,GR Material 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000013,10,MAT00000051,PO Item 13,1000,WH01,68.996,M,48830.22,1,3369089.86,EA,1,1,INFO000015,V1,X,X,,X,1000,F,RS,V000015,2000,10,20250121,20250121,20250121,20250421,USD,2/10NET30,CIF,DESTINATION PORT,73.7102,,,SALES01,,1000000142.0,10.0,NB,PR Item 142,0010,258.327,PC,20250907.0,USER020,2.0,02,1.0,P,47227.27,1.0,USD,REQ00000142,L,1.0,CC000005,WBS-0018,6000000003.0,1000.0,BU02,4097892639.0,20.0,,,,PC0001,,1000.0,1,CC000011,WBS-0010,6000000005,1000,BU05,,,ORD656837,,PC0001,MFG,1000,,1,5,2023,5000000013,1,E,108.919,L,60783.07,INR,20231005,20231005,H,102,MAT00000053,1100,WH01,V000034,5000000013,2025,1,101,MAT00000013,2000,WH01,BATCH62028,V000010,1.712,L,7733.7,INR,1000,CC000018,6000000009,GR Material 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000014,10,MAT00000059,PO Item 14,2100,0010,217.633,L,5389.66,1,1172967.87,PC,1,1,INFO000022,I0,X,X,,,1000,F,NB,V000003,3000,3,20231209,20231209,20231209,20240308,INR,0001,EXW,DESTINATION PORT,78.3907,,,SALES09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000019,WBS-0022,6000000015,1000,BU05,,,,,PC0010,,1000,,1,4,2025,5000000014,1,W,127.337,L,205477.53,INR,20250917,20250917,H,122,MAT00000026,2000,0002,V000010,5000000014,2025,1,502,MAT00000010,2100,0002,BATCH66769,V000033,1.583,KG,4675.03,EUR,1000,CC000012,6000000008,GR Material 14,X,5000000014.0,2025.0,20251019.0,20251019.0,20251019.0,USER011,MIGO,GR for PO 4500000014,DLV00000014,SLIP208970,4500000014.0,,102.0,,,,,,,,,,,,,,,,1,,0.0
4500000015,10,MAT00000029,PO Item 15,1000,0002,121.28,EA,26171.79,1,3174114.69,EA,1,1,INFO000034,I0,X,X,,,1000,F,NB,V000009,2000,1,20250507,20250507,20250507,20250805,EUR,0001,CIF,DESTINATION PORT,80.5292,,,SALES07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000018,WBS-0008,6000000015,1000,BU03,,,,,PC0007,,3000,,1,3,2023,5000000015,1,R,25.717,PC,72177.88,INR,20230127,20230127,S,121,MAT00000002,3000,0002,V000009,5000000015,2024,1,502,MAT00000007,2000,0010,,V000033,25.531,L,69412.86,USD,2000,CC000003,6000000024,GR Material 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000016,10,MAT00000009,PO Item 16,3000,WH01,271.043,M,12673.01,1,3434930.65,PC,1,1,INFO000048,I0,X,X,,,3000,F,ZUB,V000013,1000,10,20251219,20251219,20251219,20260319,EUR,NET30,DAP,DESTINATION PORT,80.3254,,,SALES01,,1000000110.0,10.0,RS,PR Item 110,0002,294.433,EA,20230619.0,USER015,10.0,03,1.0,K,38797.95,1.0,USD,REQ00000110,,1.0,CC000015,WBS-0007,6000000019.0,1000.0,BU03,,,,20543.0,,PC0009,,2000.0,1,CC000002,WBS-0013,6000000028,1000,BU05,9809655189.0,30.0,,,PC0009,,1000,,1,5,2024,5000000016,1,Q,156.069,PC,311689.89,USD,20240721,20240721,S,122,MAT00000017,1100,0010,V000016,5000000016,2024,1,102,MAT00000013,2000,WH01,,V000020,41.437,PC,112497.66,INR,2000,CC000006,6000000016,GR Material 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000017,10,MAT00000032,PO Item 17,1000,0002,338.957,L,31222.81,1,10583190.01,M,1,1,INFO000023,V0,X,X,,,3000,F,NB,V000001,2000,10,20230616,20230616,20230616,20230914,INR,NET30,EXW,DESTINATION PORT,70.6389,,,SALES10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000005,WBS-0006,6000000012,1000,BU01,,,ORD336633,,PC0010,SCM,3000,,1,4,2024,5000000017,1,Q,162.8,EA,740231.1,INR,20241227,20241227,S,101,MAT00000045,1000,0002,V000003,5000000017,2024,1,501,MAT00000010,1100,WH01,BATCH36145,V000006,87.507,M,324240.84,USD,3000,CC000016,6000000016,GR Material 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000018,10,MAT00000002,PO Item 18,1100,0001,72.608,M,38223.2,1,2775310.11,M,1,1,INFO000047,V2,X,X,,,3000,F,RS,V000008,2000,10,20231216,20231216,20231216,20240315,USD,2/10NET30,EXW,DESTINATION PORT,71.4616,,,SALES09,,1000000170.0,10.0,RS,PR Item 170,WH01,6.401,M,20250916.0,USER014,3.0,02,4.0,K,12616.27,1.0,EUR,REQ00000170,,1.0,CC000015,WBS-0009,6000000005.0,1000.0,BU03,,,,,,PC0007,,3000.0,1,CC000003,WBS-0006,6000000025,1000,BU03,3412985084.0,20.0,ORD768933,,PC0002,SCM,1000,,1,1,2024,5000000018,1,R,33.68,L,68998.61,INR,20241216,20241216,S,122,MAT00000005,3000,WH01,V000011,5000000018,2024,1,102,MAT00000004,2000,WH01,BATCH62628,V000031,44.546,M,202963.82,INR,1000,CC000013,6000000030,GR Material 18,,5000000018.0,2024.0,20240430.0,20240430.0,20240430.0,USER004,MIGO,GR for PO 4500000018,DLV00000018,,4500000018.0,X,501.0,,,,,,,,,,,,,,,,1,-504.0,0.0
4500000019,10,MAT00000013,PO Item 19,2100,0001,202.355,M,30177.33,1,6106533.61,EA,1,1,INFO000026,V2,X,X,,,2000,F,NB,V000010,2000,1,20250124,20250124,20250124,20250424,USD,0002,CIF,DESTINATION PORT,86.6272,,,SALES09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000010,WBS-0005,6000000012,1000,BU01,,,,,PC0009,,3000,,1,4,2023,5000000019,1,W,29.676,KG,48458.29,USD,20230517,20230517,S,102,MAT00000037,2000,0010,V000040,5000000019,2024,1,502,MAT00000051,1000,0001,BATCH53086,V000033,143.067,M,628244.15,USD,1000,CC000005,6000000012,GR Material 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000020,10,MAT00000053,PO Item 20,2000,0002,87.004,EA,41135.45,1,3578948.69,PC,1,1,INFO000008,I1,X,X,,X,1000,F,FO,V000040,1000,1,20240809,20240809,20240809,20241107,USD,2/10NET30,DAP,DESTINATION PORT,89.6427,,,SALES06,,1000000025.0,10.0,ZNB,PR Item 25,0001,274.063,M,20250917.0,USER017,3.0,02,2.0,K,9530.85,1.0,USD,REQ00000025,,1.0,CC000010,WBS-0016,6000000004.0,1000.0,BU02,,,,,,PC0010,ADM,2000.0,1,CC000006,WBS-0010,6000000004,1000,BU02,,,,,PC0003,,2000,,1,2,2024,5000000020,1,Q,121.077,EA,131113.93,INR,20241010,20241010,H,102,MAT00000003,1000,0001,V000040,5000000020,2025,1,502,MAT00000044,1100,0002,BATCH18450,V000030,119.863,M,343264.21,EUR,2000,CC000005,6000000003,GR Material 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000021,10,MAT00000014,PO Item 21,1100,0001,102.856,PC,5070.74,1,521556.03,M,1,1,INFO000023,V1,X,X,,X,2000,F,FO,V000032,2000,20,20250609,20250609,20250609,20250907,INR,NET30,DDP,DESTINATION PORT,85.0411,,,SALES07,,1000000092.0,10.0,NB,PR Item 92,0001,45.47,M,20230628.0,USER009,3.0,X,3.0,F,26639.64,1.0,EUR,REQ00000092,,1.0,CC000006,WBS-0002,6000000027.0,1000.0,BU03,,,ORD926097,,,PC0003,,2000.0,1,CC000019,WBS-0015,6000000019,1000,BU01,,,,,PC0003,,2000,,1,7,2025,5000000021,1,Q,145.375,L,622521.02,USD,20250810,20250810,H,102,MAT00000002,3000,0010,V000026,5000000021,2024,1,502,MAT00000023,3000,0001,,V000011,102.314,M,444989.49,EUR,1000,CC000018,6000000019,GR Material 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000022,10,MAT00000052,PO Item 22,2100,0001,423.882,KG,10939.46,1,4637040.18,PC,1,1,INFO000028,I0,X,X,,,1000,F,NB,V000015,2000,3,20240619,20240619,20240619,20240917,USD,NET30,DDP,DESTINATION PORT,72.7328,,,SALES04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000014,WBS-0003,6000000007,1000,BU05,,,ORD344146,,PC0007,SCM,2000,,1,5,2025,5000000022,1,W,150.34,L,557289.98,USD,20251119,20251119,S,102,MAT00000048,3000,0002,V000019,5000000022,2023,1,101,MAT00000029,3000,0002,,V000039,108.625,M,305468.74,USD,3000,CC000007,6000000012,GR Material 22,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
4500000023,10,MAT00000060,PO Item 23,1100,WH01,356.985,M,41145.91,1,14688472.68,L,1,1,INFO000049,V0,X,X,,,2000,F,NB,V000012,3000,1,20250101,20250101,20250101,20250401,INR,2/10NET30,CIF,DESTINATION PORT,78.7834,,,SALES02,,1000000052.0,10.0,ZNB,PR Item 52,0010,242.205,KG,20230317.0,USER020,10.0,X,1.0,K,46744.8,1.0,EUR,REQ00000052,,1.0,CC000018,WBS-0004,6000000027.0,1000.0,BU01,,,,,,PC0007,,3000.0,1,CC000007,WBS-0003,6000000008,1000,BU04,2239534867.0,20.0,,14763.0,PC0008,,3000,,1,6,2025,5000000023,1,R,51.275,L,94601.48,EUR,20250222,20250222,H,121,MAT00000018,2000,WH01,V000037,5000000023,2023,1,101,MAT00000047,2000,WH01,BATCH51587,V000023,51.947,M,27908.59,USD,2000,CC000012,6000000008,GR Material 23,,5000000023.0,2023.0,20230128.0,20230128.0,20230128.0,USER013,MIGO,GR for PO 4500000023,DLV00000023,,4500000023.0,X,102.0,,,,,,,,,,,,,,,,1,-48.0,1.0
4500000024,10,MAT00000031,PO Item 24,2100,WH01,243.696,PC,35638.41,1,8684937.96,M,1,1,INFO000023,I0,X,X,,,1000,F,NB,V000002,3000,10,20230426,20230426,20230426,20230725,INR,2/10NET30,EXW,DESTINATION PORT,89.3448,,,SALES07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,CC000012,WBS-0003,6000000027,1000,BU02,,,,62034.0,PC0010,,2000,,1,4,2025,5000000024,1,Q,168.71,M,761036.51,EUR,20250817,20250817,S,101,MAT00000022,1100,WH01,V000007,5000000024,2025,1,502,MAT00000025,3000,WH01,,V000015,125.04,EA,259903.86,USD,2000,CC000011,6000000025,GR Material 24,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
