BELNR,GJAHR,BUZEI,EBELN,EBELP,MATNR,WERKS,MENGE,MEINS,WRBTR,TXBHW,MWSKZ,SAKTO,KOSTL,PS_PSP_PNR,AUFNR,GSBER,PRCTR,SGTXT,BUKRS,RBKPF_GJAHR,RBKPF_BUKRS,RBKPF_BLDAT,RBKPF_BUDAT,RBKPF_CPUDT,RBKPF_USNAM,RBKPF_BLART,RBKPF_LIFNR,RBKPF_WAERS,RBKPF_WRBTR,RBKPF_RMWWR,RBKPF_XBLNR,RBKPF_BKTXT,RBKPF_ZFBDT,RBKPF_ZTERM,RBKPF_ZLSCH,RBKPF_BVTYP,RBKPF_STBLG,RBKPF_STJAH,LIFNR,BSEG_BELNR,BSEG_GJAHR,BSEG_BUZEI,BSEG_KOART,BSEG_KUNNR,BSEG_HKONT,BSEG_KOSTL,BSEG_SAKTO,BSEG_MWSKZ,BSEG_DMBTR,BSEG_WRBTR,BSEG_WAERS,BSEG_SHKZG,BSEG_ZTERM,BSEG_ZFBDT,BSEG_SGTXT,BSEG_PRCTR,BSEG_GSBER,BKPF_BLART,BKPF_BLDAT,BKPF_BUDAT,BKPF_MONAT,BKPF_CPUDT,BKPF_USNAM,BKPF_TCODE,BKPF_BKTXT,BKPF_WAERS,BKPF_KURSF,BKPF_XBLNR,BKPF_BVTYP,BKPF_STBLG,BKPF_STJAH,BKPF_AWTYP,BKPF_AWKEY,BKPF_XSTOV,BSIK_LIFNR,BSIK_UMSKS,BSIK_UMSKZ,BSIK_BLART,BSIK_BUDAT,BSIK_BLDAT,BSIK_WAERS,BSIK_DMBTR,BSIK_WRBTR,BSIK_DMSHB,BSIK_SHKZG,BSIK_ZTERM,BSIK_ZFBDT,BSIK_REBZG,BSIK_REBZJ,BSIK_XBLNR,BSAK_LIFNR,BSAK_UMSKS,BSAK_UMSKZ,BSAK_BLART,BSAK_BUDAT,BSAK_BLDAT,BSAK_WAERS,BSAK_DMBTR,BSAK_WRBTR,BSAK_DMSHB,BSAK_SHKZG,BSAK_AUGDT,BSAK_AUGBL,BSAK_AUGJH,BSAK_XBLNR,BSAK_REBZG,REGUP_BUDAT,REGUP_LAUFI,REGUP_LAUFD,LAUFD,LAUFI,REGUH_ZBUKR,REGUH_LIFNR,REGUH_KUNNR,REGUH_EMPFG,REGUH_RZAWE,REGUH_WAERS,REGUH_RWBTR,REGUH_VALUT,REGUH_VBLNR,REGUH_VGJHR,REGUH_RBBUK,REGUH_HBKID,REGUH_HKTID,REGUH_XVORL,REGUH_XPYRT,REGUH_ABSND,REGUH_STGRD,REGUH_PRTNR,PAYR_ZBUKR,PAYR_HBKID,PAYR_HKTID,PAYR_RZAWE,PAYR_CHECT,PAYR_LIFNR,PAYR_KUNNR,VBLNR,PAYR_VGJHR,PAYR_WAERS,PAYR_RWBTR,PAYR_VALUT,PAYR_ZALDT,PAYR_XVORL,PAYR_STGRP,PAYR_PRTNR,PAYR_ABSND,PAYR_LAUFD,PAYR_LAUFI,PAYR_XSTAO,FEBEP_HBKID,FEBEP_HKTID,FEBEP_LFDNR,FEBEP_BUDAT,FEBEP_VALUT,FEBEP_WAERS,FEBEP_KWBTR,FEBEP_KWATR,FEBEP_XAUTO,FEBEP_ZUONR,FEBEP_SGTXT,FEBEP_VGEXT,FEBEP_BVTYP,FEBEP_LIFNR,FEBEP_EMPFG,FEBEP_MANDT,FEBEP_XSTBO,kpi_days_to_pay
5100000011,2025,1,4500000011,10,MAT00000056,2100,50.414,M,20464.05,3683.53,I0,6000000027,CC000001,WBS-0001,ORD453854,BU04,PC0008,Invoice line 11,2000,2023,3000,20231024,20231024,20231024,USER017,RE,V000022,USD,221644.28,221644.28,INV00000011,Vendor Invoice 11,20231123,2/10NET30,C,CHECK,1000000149.0,2025.0,V000022,1000000087.0,2023.0,1.0,A,,6000000009.0,CC000012,6000000025.0,V0,225799.52,225799.52,EUR,S,NET30,20230312.0,BSEG Line 87,PC0005,BU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230122,RUN0017,20230122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-275
5100000012,2025,1,4500000012,10,MAT00000023,2100,131.551,M,239193.92,43054.91,I1,6000000027,CC000013,WBS-0021,ORD807784,BU01,PC0010,Invoice line 12,1000,2023,1000,20231120,20231120,20231120,USER014,RE,V000013,EUR,425894.74,425894.74,INV00000012,Vendor Invoice 12,20231220,NET30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20231216,RUN0001,20240109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
5100000013,2025,1,4500000013,10,MAT00000017,1000,166.125,EA,130582.56,23504.86,I1,6000000014,CC000009,WBS-0008,,BU04,PC0004,Invoice line 13,2000,2023,1000,20230926,20230926,20230926,USER003,RE,V000039,EUR,246604.55,246604.55,INV00000013,Vendor Invoice 13,20231026,2/10NET30,C,SEPA,,,V000039,1000000022.0,2024.0,1.0,K,C000010,6000000007.0,CC000003,6000000014.0,I0,488588.05,488588.05,INR,H,NET30,20250120.0,BSEG Line 22,PC0007,BU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20250520,RUN0002,20251008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602
5100000014,2025,1,4500000014,10,MAT00000052,1100,180.959,PC,199337.2,35880.7,V0,6000000024,CC000016,WBS-0005,,BU04,PC0003,Invoice line 14,1000,2024,3000,20241126,20241126,20241126,USER015,RE,V000004,EUR,417276.95,417276.95,INV00000014,Vendor Invoice 14,20241226,2/10NET30,C,DTAZV,1000000021.0,2024.0,V000004,1000000046.0,2024.0,1.0,S,,6000000010.0,CC000009,6000000003.0,I0,145233.05,145233.05,INR,H,NET60,20241020.0,BSEG Line 46,PC0005,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240223,RUN0006,20241214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-277
5100000015,2025,1,4500000015,10,MAT00000025,1000,32.907,PC,162112.39,29180.23,V1,6000000030,CC000006,WBS-0003,,BU04,PC0005,Invoice line 15,1000,2024,1000,20241002,20241002,20241002,USER012,RE,V000007,USD,17065.33,17065.33,INV00000015,Vendor Invoice 15,20241101,2/10NET30,C,SEPA,,,V000007,1000000065.0,2025.0,1.0,A,C000043,6000000027.0,CC000014,6000000019.0,I1,414450.86,414450.86,USD,H,NET30,20250228.0,BSEG Line 65,PC0007,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230926,RUN0013,20250729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-372
5100000016,2024,1,4500000016,10,MAT00000055,3000,95.728,KG,207044.35,37267.98,V1,6000000022,CC000002,WBS-0004,,BU01,PC0001,Invoice line 16,3000,2025,2000,20251022,20251022,20251022,USER004,RE,V000001,USD,66018.37,66018.37,INV00000016,Vendor Invoice 16,20251121,NET30,C,SEPA,,,V000001,1000000038.0,2023.0,1.0,A,,6000000013.0,CC000005,6000000007.0,I1,310900.45,310900.45,EUR,S,NET60,20230922.0,BSEG Line 38,PC0009,BU02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230414,RUN0001,20231226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-922
5100000017,2023,1,4500000017,10,MAT00000046,1100,157.15,M,641729.88,115511.38,V2,6000000022,CC000005,WBS-0007,,BU03,PC0001,Invoice line 17,2000,2023,2000,20231103,20231103,20231103,USER008,RE,V000036,USD,429396.39,429396.39,INV00000017,Vendor Invoice 17,20231203,NET60,C,SEPA,,,V000036,1000000014.0,2024.0,1.0,D,,6000000006.0,CC000015,6000000010.0,I1,74313.18,74313.18,EUR,S,NET60,20250112.0,BSEG Line 14,PC0008,BU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230425,RUN0002,20250405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-192
5100000018,2023,1,4500000018,10,MAT00000060,3000,89.509,L,216481.1,38966.6,I0,6000000004,CC000013,WBS-0016,,BU05,PC0010,Invoice line 18,2000,2023,3000,20231109,20231109,20231109,USER005,RE,V000004,USD,244114.4,244114.4,INV00000018,Vendor Invoice 18,20231209,0001,C,,,,V000004,1000000122.0,2023.0,1.0,K,,6000000027.0,CC000014,6000000009.0,V0,224319.56,224319.56,INR,S,2/10NET30,20230511.0,BSEG Line 122,PC0008,BU05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240223,RUN0006,20241214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
5100000019,2023,1,4500000019,10,MAT00000047,3000,105.203,EA,16139.19,2905.05,I0,6000000017,CC000017,WBS-0007,ORD410529,BU04,PC0005,Invoice line 19,1000,2025,2000,20251106,20251106,20251106,USER004,RE,V000003,EUR,343210.86,343210.86,INV00000019,Vendor Invoice 19,20251206,NET60,C,DTAZV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230416,RUN0006,20250902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-935
5100000020,2025,1,4500000020,10,MAT00000059,2000,52.205,EA,148881.35,26798.64,I1,6000000002,CC000005,WBS-0002,,BU04,PC0004,Invoice line 20,2000,2023,3000,20231218,20231218,20231218,USER001,RE,V000021,USD,390399.24,390399.24,INV00000020,Vendor Invoice 20,20240117,NET30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240428,RUN0017,20240428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
5100000021,2023,1,4500000021,10,MAT00000028,1100,172.907,L,359401.03,64692.19,I0,6000000007,CC000012,WBS-0007,,BU04,PC0009,Invoice line 21,2000,2024,3000,20241210,20241210,20241210,USER011,RE,V000010,EUR,9775.88,9775.88,INV00000021,Vendor Invoice 21,20250109,0002,C,,,,V000010,1000000002.0,2025.0,1.0,D,,6000000010.0,CC000009,6000000022.0,I1,143255.8,143255.8,EUR,S,NET60,20251227.0,BSEG Line 2,PC0005,BU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230610,RUN0002,20250513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-549
5100000022,2023,1,4500000022,10,MAT00000009,1000,84.915,M,30651.77,5517.32,I1,6000000016,CC000004,WBS-0010,,BU04,PC0008,Invoice line 22,2000,2023,2000,20230102,20230102,20230102,USER014,RE,V000026,USD,449219.81,449219.81,INV00000022,Vendor Invoice 22,20230201,2/10NET30,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230621,RUN0006,20250506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
5100000023,2024,1,4500000023,10,MAT00000006,3000,139.814,EA,663262.24,119387.2,V1,6000000004,CC000005,WBS-0007,,BU01,PC0008,Invoice line 23,1000,2023,2000,20230129,20230129,20230129,USER009,RE,V000025,INR,498692.34,498692.34,INV00000023,Vendor Invoice 23,20230228,0001,C,,,,V000025,1000000001.0,2025.0,1.0,S,C000003,6000000002.0,CC000002,6000000012.0,V2,207239.46,207239.46,EUR,H,0002,20251110.0,BSEG Line 1,PC0008,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240707,RUN0002,20240707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525
5100000024,2024,1,4500000024,10,MAT00000027,1100,117.326,M,300706.54,54127.18,V0,6000000008,CC000012,WBS-0002,,BU05,PC0009,Invoice line 24,1000,2024,3000,20240919,20240919,20240919,USER008,RE,V000023,EUR,367059.93,367059.93,INV00000024,Vendor Invoice 24,20241019,2/10NET30,C,,,,V000023,1000000147.0,2025.0,1.0,S,,6000000013.0,CC000020,6000000030.0,I1,148063.72,148063.72,INR,H,NET60,20251010.0,BSEG Line 147,PC0008,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230711,RUN0009,20231226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-436
5100000025,2023,1,4500000025,10,MAT00000023,3000,185.435,PC,349767.5,62958.15,I0,6000000020,CC000003,WBS-0014,,BU04,PC0005,Invoice line 25,3000,2024,1000,20240420,20240420,20240420,USER001,RE,V000030,INR,98692.94,98692.94,INV00000025,Vendor Invoice 25,20240520,NET60,C,SEPA,1000000071.0,2025.0,V000030,1000000052.0,2025.0,1.0,D,,6000000020.0,CC000004,6000000011.0,V1,175285.22,175285.22,USD,H,0002,20251129.0,BSEG Line 52,PC0007,BU05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230203,RUN0017,20250514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-442
5100000026,2023,1,4500000026,10,MAT00000002,2100,82.168,EA,317402.66,57132.48,I1,6000000028,CC000010,WBS-0006,,BU01,PC0001,Invoice line 26,2000,2025,1000,20251009,20251009,20251009,USER010,RE,V000015,EUR,26577.2,26577.2,INV00000026,Vendor Invoice 26,20251108,0001,C,DTAZV,,,V000015,1000000011.0,2025.0,1.0,D,C000038,6000000004.0,CC000007,6000000013.0,V0,314806.5,314806.5,INR,H,0001,20250921.0,BSEG Line 11,PC0003,BU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230319,RUN0005,20250214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-935
5100000027,2023,1,4500000027,10,MAT00000022,2100,62.668,L,203866.52,36695.97,I0,6000000004,CC000012,WBS-0003,,BU02,PC0008,Invoice line 27,2000,2023,1000,20230414,20230414,20230414,USER012,RE,V000004,INR,283667.85,283667.85,INV00000027,Vendor Invoice 27,20230514,NET60,C,,,,V000004,1000000122.0,2023.0,1.0,K,,6000000027.0,CC000014,6000000009.0,V0,224319.56,224319.56,INR,S,2/10NET30,20230511.0,BSEG Line 122,PC0008,BU05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240223,RUN0006,20241214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315
5100000028,2023,1,4500000028,10,MAT00000018,2000,67.512,L,100604.36,18108.78,I1,6000000013,CC000011,WBS-0007,,BU03,PC0001,Invoice line 28,3000,2023,1000,20230422,20230422,20230422,USER010,RE,V000006,EUR,254302.88,254302.88,INV00000028,Vendor Invoice 28,20230522,NET60,C,,,,V000006,1000000109.0,2023.0,1.0,A,,6000000022.0,CC000001,6000000029.0,I0,348855.38,348855.38,INR,H,0002,20230214.0,BSEG Line 109,PC0002,BU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20230824,RUN0014,20230905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
5100000029,2024,1,4500000029,10,MAT00000012,2100,88.921,M,165742.52,29833.65,V0,6000000018,CC000020,WBS-0002,,BU03,PC0007,Invoice line 29,3000,2025,1000,20250428,20250428,20250428,USER004,RE,V000009,INR,278831.21,278831.21,INV00000029,Vendor Invoice 29,20250528,0001,C,,,,V000009,1000000005.0,2023.0,1.0,S,,6000000029.0,CC000018,6000000029.0,V1,496204.88,496204.88,USD,S,0001,20240104.0,BSEG Line 5,PC0003,BU02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20240708,RUN0010,20240708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-294
