LIFNR,NAME1,NAME2,ORT01,LAND1,STRAS,PSTLZ,REGIO,TELF1,TELFX,KTOKK,SPRAS,STCD1,STCD2,XCPDK,LOEVM,SPERR,SPERZ,BEGRU,ERDAT,BUKRS,AKONT,ZTERM,ZWELS,REPRF,VRSZL,KULTG,MINDK,ZINDT,ALTKN,PERNR,DATLZ,LNRZA,XVERR,TOGRU,TLFXS,STCD3,UZAWE,EKVBD,EKORG,WAERS,ZTERM_LFM1,INCO1,INCO2,MINBW,KZRET,LFABC,VRFKZ,LIEFF,WMFST,WEBRE,XERSY,XNBWY,PLIFZ,DISPO,RDPRF,MEGRU,UNLOADING_POINT,dim_entity_type,MATNR,ERSDA,ERNAM,LAEDA,AENAM,MTART,MBRSH,MATKL,BISMT,MEINS,BSTME,ZEINR,ZEIVR,ZEIFO,AESZN,BLANZ,LABOR,EKWSL,BRGEW,NTGEW,WERKS,PSTAT,LVORM,BWTTY,MTVFP,DISMM,DISLS,BERID,MABST,MINBE,EISBE,MTVLP,WEBAZ,LGPRO,LGFSB,RGEKZ,FEVOR,INFNR,IDNLF,MAHN1,MAHN2,MAHN3,TXZ01,MAKTX,UMREZ,UMREN,LMEIN,LTSNR,NORMT,VERKF,VREPZ,NETPR,EKORG_EINE,ESOKZ,NETPR_EINE,PEINH,BPRME,PRDAT,EKGRP,MWSKZ,UEBTO,UNTTO,BSTMA,BSTMI
V000011,Vendor 11 Ltd,Vendor 11 Pvt,Hyderabad,IN,814 Industrial Area,539656.0,MH,919965041331.0,912253065203.0,1.0,EN,GSTIN0000000011,PAN00000011,,,,,1.0,20210320.0,2000.0,21000000.0,2/10NET30,B,X,,X,B,20240822.0,OLD77652,,20230806.0,,,GRP02,917229502736.0,,C,USER004,3000.0,EUR,2/10NET30,CIF,DESTINATION,29991.87,X,A,,X,,X,X,,22.0,MRP2,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000012,Vendor 12 Ltd,Vendor 12 Pvt,Delhi,IN,396 Industrial Area,490651.0,MH,919728576876.0,912210887835.0,1.0,EN,GSTIN0000000012,PAN00000012,,,,,1.0,20210214.0,1000.0,21000000.0,NET60,B,,1.0,,C,,OLD98698,,20250202.0,,,GRP02,913970715367.0,,C,USER002,2000.0,EUR,0001,EXW,DESTINATION,21578.2,,B,2.0,,3.0,X,,X,29.0,MRP5,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000013,Vendor 13 Ltd,Vendor 13 Pvt,Chennai,IN,63 Industrial Area,506884.0,MH,919986171754.0,912226149746.0,1.0,EN,GSTIN0000000013,PAN00000013,,,X,,1.0,20180123.0,1000.0,21000000.0,NET30,T,,1.0,,B,,,,20231231.0,,X,,918375312491.0,,C,USER003,3000.0,EUR,0001,DDP,DESTINATION,46900.69,X,A,1.0,,,X,X,,13.0,MRP1,1.0,MG02,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000014,Vendor 14 Ltd,Vendor 14 Pvt,Jaipur,IN,5 Industrial Area,534688.0,MH,919302647954.0,912249365533.0,1.0,EN,GSTIN0000000014,PAN00000014,,,,,1.0,20190622.0,3000.0,21000000.0,2/10NET30,B,X,1.0,X,,,OLD27395,,20240317.0,,,GRP02,,,C,USER002,1000.0,INR,NET30,EXW,DESTINATION,20593.22,,B,2.0,,3.0,X,,,15.0,MRP4,1.0,MG01,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000015,Vendor 15 Ltd,Vendor 15 Pvt,Surat,IN,525 Industrial Area,488768.0,MH,919621001038.0,912220762138.0,1.0,EN,GSTIN0000000015,PAN00000015,X,,,,1.0,20181211.0,1000.0,21000000.0,0001,T,,1.0,X,A,,,,20210806.0,,,GRP03,916588610432.0,TAN20254278,C,USER003,1000.0,INR,2/10NET30,CIF,DESTINATION,8477.49,X,A,,X,1.0,X,,,7.0,MRP4,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000016,Vendor 16 Ltd,Vendor 16 Pvt,Ahmedabad,IN,273 Industrial Area,577121.0,MH,919307951025.0,912214016863.0,1.0,EN,GSTIN0000000016,PAN00000016,,,,,1.0,20210616.0,1000.0,21000000.0,NET30,T,,2.0,,,,OLD36894,,20201103.0,,X,GRP03,913395347941.0,TAN27613681,C,USER004,3000.0,INR,2/10NET30,DDP,DESTINATION,26604.94,,B,,,,X,X,,10.0,,1.0,MG03,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000017,Vendor 17 Ltd,Vendor 17 Pvt,Mumbai,IN,880 Industrial Area,540267.0,MH,919524321219.0,912298718577.0,1.0,EN,GSTIN0000000017,PAN00000017,,,,,1.0,20180517.0,3000.0,21000000.0,2/10NET30,T,,,,,,,P9422,20230216.0,,,,915195287460.0,,C,USER003,2000.0,USD,0001,DAP,DESTINATION,15650.49,,A,,,3.0,X,X,,25.0,MRP1,1.0,MG01,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000018,Vendor 18 Ltd,Vendor 18 Pvt,Kolkata,IN,902 Industrial Area,582150.0,MH,919072801641.0,912259010664.0,1.0,EN,GSTIN0000000018,PAN00000018,,,,,1.0,20201115.0,2000.0,21000000.0,NET60,T,,1.0,,,20241019.0,,,20210527.0,V000008,,GRP02,,TAN51818682,C,,3000.0,INR,0001,CIF,DESTINATION,48505.6,,A,,,,X,X,,25.0,MRP2,1.0,MG01,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000019,Vendor 19 Ltd,Vendor 19 Pvt,Bangalore,IN,839 Industrial Area,547484.0,MH,919663029802.0,912208969822.0,1.0,EN,GSTIN0000000019,PAN00000019,,,,,1.0,20190102.0,1000.0,21000000.0,2/10NET30,B,,,,,,,P2677,20210725.0,,,,,,C,USER004,3000.0,EUR,0001,FOB,DESTINATION,23270.3,,B,,X,2.0,X,,,9.0,MRP4,1.0,MG02,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000020,Vendor 20 Ltd,Vendor 20 Pvt,Chennai,IN,17 Industrial Area,427731.0,MH,919515750999.0,912210431037.0,1.0,EN,GSTIN0000000020,PAN00000020,,,,,1.0,20191226.0,2000.0,21000000.0,0002,C,,2.0,X,C,,,,20181024.0,,,,,TAN69315901,C,USER003,3000.0,INR,0002,DDP,DESTINATION,19198.31,,A,2.0,,2.0,X,,,18.0,MRP1,1.0,MG01,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000021,Vendor 21 Ltd,Vendor 21 Pvt,Surat,IN,645 Industrial Area,527345.0,MH,919725085080.0,912296720977.0,1.0,EN,GSTIN0000000021,PAN00000021,,,,,1.0,20200128.0,3000.0,21000000.0,NET60,C,X,2.0,,A,,,P4384,20230312.0,,,GRP03,916188787377.0,,C,USER001,3000.0,EUR,0001,FOB,DESTINATION,3448.51,,B,2.0,,,X,,,17.0,MRP2,1.0,,Dock 5,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000022,Vendor 22 Ltd,Vendor 22 Pvt,Ahmedabad,IN,774 Industrial Area,448561.0,MH,919263867541.0,912266093336.0,1.0,EN,GSTIN0000000022,PAN00000022,,,,,1.0,20190405.0,1000.0,21000000.0,NET60,C,,3.0,X,C,,,,20220331.0,,,,919209762858.0,,C,USER003,1000.0,EUR,2/10NET30,EXW,DESTINATION,30668.53,,C,,,,X,X,X,5.0,,1.0,MG02,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000023,Vendor 23 Ltd,Vendor 23 Pvt,Mumbai,IN,974 Industrial Area,519539.0,MH,919611686276.0,912210882248.0,1.0,EN,GSTIN0000000023,PAN00000023,,,,,1.0,20210402.0,2000.0,21000000.0,0001,T,X,,,,,,,20181117.0,V000023,,,914962850544.0,,C,USER004,3000.0,EUR,0001,CIF,DESTINATION,10485.2,,A,,,,X,,,6.0,MRP4,1.0,MG02,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000024,Vendor 24 Ltd,Vendor 24 Pvt,Hyderabad,IN,889 Industrial Area,533744.0,MH,919891501801.0,912259068431.0,1.0,EN,GSTIN0000000024,PAN00000024,,,,,1.0,20190406.0,1000.0,21000000.0,NET30,B,X,2.0,,A,,,P9888,20190617.0,,,GRP02,916859164627.0,TAN50894029,C,,3000.0,USD,NET60,DAP,DESTINATION,24485.04,,A,2.0,,1.0,X,,,27.0,,1.0,MG02,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000025,Vendor 25 Ltd,Vendor 25 Pvt,Chennai,IN,200 Industrial Area,473136.0,MH,919780087948.0,912202258944.0,1.0,EN,GSTIN0000000025,PAN00000025,,,,,1.0,20200525.0,2000.0,21000000.0,0001,C,,2.0,X,B,,,P6739,20180430.0,,,GRP01,916374643838.0,TAN25917805,C,,1000.0,INR,NET30,CIF,DESTINATION,18887.88,,C,,,3.0,X,,X,17.0,,1.0,MG02,Dock 3,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000026,Vendor 26 Ltd,Vendor 26 Pvt,Ahmedabad,IN,949 Industrial Area,417025.0,MH,919045001996.0,912240887573.0,1.0,EN,GSTIN0000000026,PAN00000026,,,,,1.0,20221113.0,2000.0,21000000.0,0002,B,,2.0,,C,20240505.0,,P6218,20251114.0,,X,GRP01,,TAN29107146,C,USER002,2000.0,EUR,0001,DAP,DESTINATION,15117.72,,B,,,2.0,X,X,X,18.0,MRP1,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000027,Vendor 27 Ltd,Vendor 27 Pvt,Pune,IN,126 Industrial Area,523612.0,MH,919588615432.0,912291842318.0,1.0,EN,GSTIN0000000027,PAN00000027,,,,,1.0,20190914.0,3000.0,21000000.0,NET30,B,X,,,,,,,20180118.0,,X,GRP01,,,C,USER004,1000.0,EUR,0001,CIF,DESTINATION,7754.8,,B,1.0,,,X,X,,4.0,,1.0,MG01,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000028,Vendor 28 Ltd,Vendor 28 Pvt,Bangalore,IN,518 Industrial Area,571400.0,MH,919280815193.0,912239092090.0,1.0,EN,GSTIN0000000028,PAN00000028,,,,,1.0,20220330.0,2000.0,21000000.0,NET30,C,,3.0,X,C,20240121.0,,,20240816.0,,X,GRP03,913307946396.0,TAN38164383,C,,2000.0,EUR,NET60,DDP,DESTINATION,37497.7,,B,,,3.0,X,X,,27.0,MRP1,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000029,Vendor 29 Ltd,Vendor 29 Pvt,Hyderabad,IN,570 Industrial Area,446386.0,MH,919385953167.0,912284362371.0,1.0,EN,GSTIN0000000029,PAN00000029,,,,,1.0,20200621.0,2000.0,21000000.0,2/10NET30,C,,3.0,X,B,,,P5440,20200512.0,,,GRP03,915419801487.0,TAN20550179,C,,2000.0,EUR,NET60,DAP,DESTINATION,36470.96,,C,2.0,,,X,,X,10.0,,1.0,MG02,Dock 2,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000030,Vendor 30 Ltd,Vendor 30 Pvt,Chennai,IN,99 Industrial Area,589181.0,MH,919178119466.0,912287641437.0,1.0,EN,GSTIN0000000030,PAN00000030,,,,,1.0,20190430.0,1000.0,21000000.0,2/10NET30,C,,3.0,X,B,,,,20230811.0,,,,917785025154.0,TAN24995099,C,,1000.0,USD,2/10NET30,EXW,DESTINATION,44066.51,,A,,,2.0,X,X,,5.0,MRP1,1.0,MG03,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000031,Vendor 31 Ltd,Vendor 31 Pvt,Surat,IN,475 Industrial Area,526591.0,MH,919100200294.0,912207254557.0,1.0,EN,GSTIN0000000031,PAN00000031,,,,,1.0,20201218.0,2000.0,21000000.0,0001,B,,3.0,,C,,,,20230905.0,V000031,,GRP02,919153448896.0,TAN74995591,C,,1000.0,INR,2/10NET30,DDP,DESTINATION,49289.42,,A,,X,1.0,X,,X,22.0,,1.0,MG01,Dock 7,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000032,Vendor 32 Ltd,Vendor 32 Pvt,Surat,IN,70 Industrial Area,483338.0,MH,919346713913.0,912204174922.0,1.0,EN,GSTIN0000000032,PAN00000032,,,,,1.0,20201011.0,3000.0,21000000.0,NET60,T,,,X,,20240529.0,,,20250425.0,,,,915767984371.0,,C,,3000.0,EUR,0001,DDP,DESTINATION,22792.58,,A,1.0,X,1.0,X,X,X,24.0,MRP3,1.0,MG03,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000033,Vendor 33 Ltd,Vendor 33 Pvt,Ahmedabad,IN,152 Industrial Area,456963.0,MH,919692425224.0,912276856210.0,1.0,EN,GSTIN0000000033,PAN00000033,,,,,1.0,20201124.0,2000.0,21000000.0,2/10NET30,T,X,2.0,,,,,,20201024.0,,,GRP02,916153771059.0,TAN24471004,C,USER001,2000.0,EUR,0001,FOB,DESTINATION,23008.13,X,C,2.0,,3.0,X,,,15.0,MRP3,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000034,Vendor 34 Ltd,Vendor 34 Pvt,Bangalore,IN,537 Industrial Area,458040.0,MH,919929297334.0,912210308230.0,1.0,EN,GSTIN0000000034,PAN00000034,,,,,1.0,20220413.0,3000.0,21000000.0,2/10NET30,C,,2.0,X,C,,,,20200619.0,,,GRP01,,TAN98555359,C,USER002,3000.0,INR,2/10NET30,CIF,DESTINATION,13627.09,X,C,,,2.0,X,,X,21.0,MRP1,1.0,MG01,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000035,Vendor 35 Ltd,Vendor 35 Pvt,Jaipur,IN,409 Industrial Area,442363.0,MH,919457239156.0,912281504262.0,1.0,EN,GSTIN0000000035,PAN00000035,,,,,1.0,20220213.0,1000.0,21000000.0,NET30,T,,3.0,,A,,,,20231230.0,,,,917807919405.0,,C,USER003,1000.0,INR,0001,DDP,DESTINATION,39072.42,,C,2.0,,1.0,X,,,12.0,,1.0,,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000036,Vendor 36 Ltd,Vendor 36 Pvt,Bangalore,IN,467 Industrial Area,491668.0,MH,919764931023.0,912235095796.0,1.0,EN,GSTIN0000000036,PAN00000036,,X,,,1.0,20210118.0,2000.0,21000000.0,NET30,B,,,,B,20240326.0,OLD14791,P3319,20200326.0,V000030,,GRP01,912872026192.0,TAN25961469,C,USER002,2000.0,INR,0001,CIF,DESTINATION,29916.97,X,B,,,,X,X,X,19.0,,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000037,Vendor 37 Ltd,Vendor 37 Pvt,Jaipur,IN,546 Industrial Area,417076.0,MH,919414721651.0,912220450901.0,1.0,EN,GSTIN0000000037,PAN00000037,,,,,1.0,20180314.0,1000.0,21000000.0,2/10NET30,C,,2.0,X,C,,,P5641,20240205.0,,,GRP03,917912464476.0,,C,,2000.0,INR,NET30,DAP,DESTINATION,43087.35,,A,,X,3.0,X,,X,22.0,MRP1,1.0,MG01,Dock 9,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000038,Vendor 38 Ltd,Vendor 38 Pvt,Pune,IN,835 Industrial Area,444480.0,MH,919416079412.0,912208052880.0,1.0,EN,GSTIN0000000038,PAN00000038,,,,,1.0,20210529.0,2000.0,21000000.0,0001,C,,1.0,,C,,,P5011,20211108.0,,X,,912604106208.0,TAN50486214,C,,3000.0,EUR,NET30,EXW,DESTINATION,4069.21,,C,2.0,,2.0,X,,,3.0,,1.0,,Dock 4,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000039,Vendor 39 Ltd,Vendor 39 Pvt,Chennai,IN,459 Industrial Area,598468.0,MH,919639419690.0,912261825454.0,1.0,EN,GSTIN0000000039,PAN00000039,,,,,1.0,20190710.0,2000.0,21000000.0,NET30,T,,3.0,,,20240921.0,,P3806,20200414.0,,,GRP02,912158329197.0,,C,,3000.0,INR,0002,DDP,DESTINATION,16954.02,,C,,X,1.0,X,,,29.0,,1.0,,Dock 10,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000040,Vendor 40 Ltd,Vendor 40 Pvt,Kolkata,IN,197 Industrial Area,595009.0,MH,919325500071.0,912263956960.0,1.0,EN,GSTIN0000000040,PAN00000040,,,X,,1.0,20200530.0,3000.0,21000000.0,0002,T,X,3.0,X,C,,,,20180408.0,V000011,,GRP03,919727779832.0,,C,USER003,2000.0,USD,NET60,DDP,DESTINATION,6722.5,,C,2.0,,,X,,,11.0,,1.0,MG02,Dock 1,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000041,Vendor 41 Ltd,Vendor 41 Pvt,Chennai,IN,899 Industrial Area,561237.0,MH,919302640995.0,912250478147.0,1.0,EN,GSTIN0000000041,PAN00000041,,,,,1.0,20200318.0,1000.0,21000000.0,NET60,B,X,,X,B,,,,20190726.0,,,GRP01,912205185682.0,,C,,2000.0,USD,0001,DAP,DESTINATION,3310.15,,B,,,1.0,X,,,18.0,,1.0,,Dock 6,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V000042,Vendor 42 Ltd,Vendor 42 Pvt,Surat,IN,225 Industrial Area,449998.0,MH,919951136664.0,912200384660.0,1.0,EN,GSTIN0000000042,PAN00000042,,,,,1.0,20181110.0,3000.0,21000000.0,0001,B,,,,B,,,,20190427.0,,,,917294421869.0,,C,,1000.0,INR,NET60,FOB,DESTINATION,24618.25,,A,,,,X,X,,8.0,,1.0,MG01,Dock 8,vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
